Image,product_container_URL,bluproduct_variant,product_promos_specialcamp,Content,Content1,Content2,Name,Description,Price,Price3,Price4,Location,Location5,bluproduct_sold,bluproduct_ratingwrapper
https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium//89/MTA-11017447/jfashion_tanktop_singlet_dalaman_wanita_gaya_korea_-_jfashion_naraya_full07_i8hb6eev.jpg?output-format=webp,https://www.blibli.com/p/tanktop-singlet-dalaman-wanita-gaya-korea-jfashion-naraya/ps--JFN-25267-01833?ds=JFN-25267-01833-00008&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1lt5IGoytsGr9sbE0fojW2PeXjAWV+RkbyYVqQZZXJGLV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+0qVdWrJwRTdUiSjNqtCYRFUyQdodD+zFsg/i2213sO4/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3001401&pid1=JFN-25267-01833, 5 , Promo hingga , 15 , 47 , 21 ," 
      Tanktop Singlet Dalaman Wanita Gaya Korea - Jfashion Naraya 
    ","• Produk dalam negeri
• Jahitan berkualitas
• Bahan bermutu, nyaman di pakai
• Model simpel dan elegan","
          Rp19.900
        ","
            Rp49.800
          ","
            60%
          ", JFashion Women Official Store , Kota Jakarta Barat , Terjual 880 ,"4,7"
https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium//83/MTA-3080241/jfashion_jfashion-korea-reza-tanktop-wanita_full50.jpg?output-format=webp,https://www.blibli.com/p/rewards-jfashion-korea-reza-tanktop-wanita/ps--JFN-25267-01796?ds=JFN-25267-01796-00004&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1gpehtmADvu1/4Z44LcWa/QZFktDI5/AqY/WVjL5D7CgV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+0qVdWrJwRTdUiSjNqtCYRFUyQdodD+zFsg/i2213sO4/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3001401&pid1=JFN-25267-01796, 4 , Promo hingga , 15 , 47 , 19 ," 
      Rewards - Jfashion Korea Reza Tanktop Wanita 
    "," 
 Tanktop wanita 
 Didesain trendy 
 Spaghetty strap 
 Nyaman saat digunakan 
 Material : Spandek berkualitas 
","
          Rp25.900
        ","
            Rp66.000
          ","
            61%
          ", JFashion Women , Kota Jakarta Barat , Terjual 803 ,"4,7"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/vm-v-neck-t-shirt-wanita/ps--VMP-18274-01309?ds=VMP-18274-01309-00003&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1mhBllph8amuaHbA6hz54QYjsH35jWgOmpRnKWx+8T2yV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+zTwYRVVrOAAakyD7lP7m4K//T7Pb+vXWUagLRkHIHyK/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-01309, 4 , Promo hingga , 15 , 47 , 18 ," 
      VM V Neck T-Shirt Wanita 
    ","
Short sleeves t-shirt
Desain simple trendy
V-neckline
Material : Cotton
","
          Rp40.500
        ","
            Rp119.000
          ","
            66%
          ", VM-ALSHOP Official Store  , Kota Jakarta Pusat , Terjual 567 ,"4,7"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-celebgram-linen-pants-celana-wanita/ps--9TW-60021-01577?ds=9TW-60021-01577-00004&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1hslQKmsEMj9SdwweD7PfG6g4Zh+bpoj8NtJrGyBtZYzVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/+XzaWtxNUU5H8r2wzcTDCcz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGcvQ0uIahobQPIwTeYPsxmGzRWGESQxfW2iLAfz2INBcO/DM75e1ecQvahNsPFqc1fOab3gJzGMLkHMkxNSUzSw==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01577, 4 ,,15,48,17," 
      9 to 12 Celebgram Linen Pants Celana Wanita 
    ","• Celana panjang wanita yang trendy 
• Potongan relax bikin kelihatan kurus 
• Pinggang full karet 
• All size fit to XL 
• 2 kantong kiri kanan","
          Rp119.000
        ","
            Rp299.000
          ","
            60%
          ", 9to12 Woman Official Store , Kota Jakarta Timur & kota lainnya , Terjual 298 ,"4,9"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-pretty-pleats-skirt-rok-panjang-wanita-r01/ps--9TW-60021-01346?ds=9TW-60021-01346-00008&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1smVMlW5FkJqcf1aogge9zx9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+8BZGe0v2h/g7x7LrkdU8UW0d/1ASyKnDbj+qLuXuG/A/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01346, 8 , Promo hingga , 15 , 47 , 17 ," 
      9 to 12 Pretty Pleats Skirt Rok Panjang Wanita R01 
    ","• Rok panjang pleated yang trendy
• Potongan lurus utk efek slim
• Karet tidak keras, tidak sakit, namun elastis. All size fit to XL
• Celana wanita untuk santai maupun semi formal
• Bahan celana pleated knit","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Tangerang , Terjual 215 ,"4,8"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/zalmore-pastel-series-woman-t-shirt-premium-cotton-kaos-wanita/ps--ZAE-60032-00004?ds=ZAE-60032-00004-00004&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1oqaDBqM2HlXPPOHquzUsgWwtiYjyeludLxXqo6bpui5V6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+zTwYRVVrOAAakyD7lP7m4K//T7Pb+vXWUagLRkHIHyK/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3276103&pid1=ZAE-60032-00004, 8 , Promo hingga , 15 , 47 , 17 ," 
      Zalmore Pastel Series Woman T-Shirt Premium Cotton - Kaos Wanita 
    ","• Size Detail (lingkar dada x panjang baju) SLIM FIT 
•S : 86 x 58 cm 
•M : 92 x 60 cm 
•L : 98 x 62 cm 
•XL : 104 x 64 cm 
•2XL : 110x 66 cm 
•Notes : Toleransi error size, 5% dari sizechart di atas","
          Rp46.000
        ","
            Rp80.000
          ","
            43%
          ", Zalmore Official Store , Kab. Bandung , Terjual 202 ,"4,8"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-pretty-pleats-culotte-celana-panjang-wanita-k03/ps--9TW-60021-01345?ds=9TW-60021-01345-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1pWHs5w2Zd/q66eFbAxAZ2t9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+6BgdXWHfRmgK3Yi1ewSXppJo8g3KNbnFLWGll/wEJcL/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01345, 9 , Promo hingga , 15 , 47 , 15 ," 
      9 to 12 Pretty Pleats Culotte Celana Panjang Wanita K03 
    ","• - Celana panjang pleated yang trendy 
• - Potongan lurus utk efek slim 
• - Karet tidak keras, tidak sakit, namun elastis. All size fit to XL 
• - Celana wanita untuk santai maupun semi formal 
• - Bahan celana pleated knit","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Tangerang , Terjual 184 ,"4,9"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/zalmore-basic-series-woman-t-shirt-premium-cotton-kaos-wanita/ps--ZAE-60032-00003?ds=ZAE-60032-00003-00014&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1nbcADB66JSz2CvWBcmJP+SwtiYjyeludLxXqo6bpui5V6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+zTwYRVVrOAAakyD7lP7m4K//T7Pb+vXWUagLRkHIHyK/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3276103&pid1=ZAE-60032-00003, 11 , Promo hingga , 15 , 47 , 15 ," 
      Zalmore Basic Series Woman T-Shirt Premium Cotton - Kaos Wanita 
    ","• Size Detail (lingkar dada x panjang baju) SLIM FIT 
•S : 86 x 58 cm 
•M : 92 x 60 cm 
•L : 98 x 62 cm 
•XL : 104 x 64 cm 
•2XL : 110x 66 cm 
•Notes : Toleransi error size, 5% dari sizechart di atas","
          Rp46.000
        ","
            Rp80.000
          ","
            43%
          ", Zalmore Official Store , Kab. Bandung , Terjual 179 ,"4,9"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/wacoal-mood-camisole-yn-2417/ps--WAI-60025-02716?ds=WAI-60025-02716-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1nbcADB66JSz2CvWBcmJP+Qx/TIkAbpOT+ZA9H06PM1QV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+0qVdWrJwRTdUiSjNqtCYRFUyQdodD+zFsg/i2213sO4/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3045743&pid1=WAI-60025-02716, 3 , Promo hingga , 15 , 47 , 14 ," 
      Wacoal Mood Camisole YN 2417 
    ","• Wacoal Mood Camisole YN 2417 Koleksi camisole dari Wacoal Mood yang terbuat dari bahan katun campuran kualitas premium sehingga nyaman untuk dipakai sehari-hari 
• Material : Katun","
          Rp57.000
        ","
            Rp190.000
          ","
            70%
          ", Wacoal Indonesia Official  Store , Kota Jakarta Barat , Terjual 179 ,"4,9"
,https://www.blibli.com/p/pusat-mukena-indonesia-polos-rample-viral-daster-wanita/ps--PUM-60065-00598?ds=PUM-60065-00598-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1koRWiIG7DlYkkH3K8oPMKNsYoDbY5+pW+W3O00AxPgvV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+1C3rwWRRFS/y9AO+ls+ltE+h7Fu+asoH4l0X7hRQ24IkIbtzDK2gERAiTw4DQuk2FaAiy9nSXEHlkyWTIkTjhTWmulL9IO65KDkK41EouXMYZZNAPH0BCmgJmEVjtsqlYNNpIBM0UiBrW9h/pY+AO/Rqbltq8DH2JFann1kmAR4Az81zSDVQVEe5xMv4mx4947zx/LO/L+Zl1SkTAe1dYQ=&cnc=false&pickupPointCode=PP-3086761&pid1=PUM-60065-00598, 6 , Promo hingga , 15 , 47 , 14 ," 
      Pusat Mukena Indonesia Polos Rample Viral Daster Wanita 
    "," 
 Daster 
 Didesain comfy 
 Front button opening, front pocket, dan detail ruffle 
 Nyaman saat digunakan 
 Material : Rayon jangger 
","
          Rp38.800
        ","
            Rp45.000
          ","
            14%
          ", UMKM Pusat Mukena Indonesia , Kota Tasikmalaya , Terjual 174 ,"4,7"
