Title,Title_URL,Image,product_promos_specialcamp,Content,Description,Price,Price1,Price2,Location,Location3,bluproduct_ratingwrapper,bluproduct_sold,Image4
" 
      VM Polos Navy Blue Kaos Polo Pria                                                                                                
    ",https://www.blibli.com/p/vm-polos-navy-blue-kaos-polo-pria/ps--VMP-18274-00040?ds=VMP-18274-00040-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1jxp0+e7lE8baGo3uXmxCnCVeNC+f6B/Z5uEBEu2sgCqlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21veGaGYGFGYf25z1CaNjawdBgtRiqs/MAUme7ocrJ5UAquVtw0c/bnyKkeJ3r2OgtA0T0T2y5SVcq7DCnwmLMyarw9uCgWdGp1ChgVOeWcHE8zzwV1SCkzS8fXeaTO+PIaO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00040,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium/vm-alshop_vm-polos-navy-blue-kaos-polo-pria_full01.jpg?output-format=webp, Promo hingga ,4 Feb 2024,    Short sleeves Polo shirt    Didesain casual    Pointed collar    2 front button opening    Material : Lakos ,"
          Rp54.000
        ","
            Rp129.900
          ","
            58%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,3"," Terjual 21,4 rb ",
" 
      VM Kemeja Polos Pendek Slimfit - Hitam 
    ",https://www.blibli.com/p/vm-kemeja-polos-pendek-slimfit-hitam/ps--VMP-18274-00308?ds=VMP-18274-00308-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1jxp0+e7lE8baGo3uXmxCnCLy1/eIC3r5A2DaIfa1G7nlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21veGaGYGFGYf25z1CaNjawdBgtRiqs/MAUme7ocrJ5UAquVtw0c/bnyKkeJ3r2OgtA0T0T2y5SVcq7DCnwmLMyarw9uCgWdGp1ChgVOeWcHE97SugEw8gA1HVfRRThqNtiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00308,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium/vm_vm-kemeja-polos-pendek-slimfit-hitam_full10.jpg?output-format=webp, Promo hingga ,4 Feb 2024,"• Short sleeves shirt
• Didesain trendy
• Pointed collar, front button opening
• Left chest pocket
• Material : Katun","
          Rp94.000
        ","
            Rp199.000
          ","
            53%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,6"," Terjual 21,4 rb ",
" 
      Giordano Men's Regular Polo National Day - Haute Red [0101140402] 
    ",https://www.blibli.com/p/giordano-men-s-regular-polo-national-day-haute-red-0101140402/ps--GII-70017-00154?ds=GII-70017-00154-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1h6YLjpuT4p6m8XC3VzOIwVnn94KGaiRjmmxg1qjcFPRVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJnuk6dpD5M3X1VmZDWLlP8VHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00154,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,"• Polo shirt dengan tema national day detail lining kontras 
• - Warna merah 
• - Detail kerah 
• - Unlined 
• - Regular fit 
• - Kancing depan 
• - Material katun kombinasi tidak transparan, ringan dan tidak stretch""","
          Rp199.000
        ","
            Rp449.000
          ","
            56%
          ", GIORDANO INDONESIA Official Store , Kota Tangerang ,"4,9", Terjual 617 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      JAKET PARKA PRIA WATERPROOF PREMIUM / JAKET BOOMBER / JAKET BIG SIZE / 
    ",https://www.blibli.com/p/jaket-parka-pria-waterproof-premium-jaket-boomber-jaket-big-size/ps--HEO-70079-00355?ds=HEO-70079-00355-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1qoro++1iVpFpa2vYFu3TYxB7zVLAtsfVk/1SBIKuPg8Vfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPomoKcervbZdmKOuLnVtTF8Kqlbkt0JvZnaof2SXmg5HoSygAE0PRQ9tvyhFsOCB5RfyUcjpfQtbDHqJqFsTE07&cnc=false&pickupPointCode=PP-3296171&pid1=HEO-70079-00355,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,,"• Bahan Waterproof 
• Terdapat 2 kantong di bagian bawah dan dilengkapi dengan resleting 
• Terdapat kantung bagian dalam untuk menaruh HP 
• Bahan ringan, tebal dan nyaman dipakai 
• Dilapisi furing di bagian dalam 
• Cocok digunakan untuk aktivitas indoor atau outdoor","
          Rp109.000
        ","
            Rp272.500
          ","
            60%
          ", HEYLOOK Official Store , Kota Tangerang ,"4,7", Terjual 490 ,
" 
      Roughneck T070 Black Sig Ultrablack Tshirt 
    ",https://www.blibli.com/p/roughneck-t070-black-sig-ultrablack-tshirt/ps--RO1-60023-03487?ds=RO1-60023-03487-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1olLQ/AAoXDPhtkR7Ss/KSI1UxjOIaKtIQS7rbrdUL4eV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYONp6XO8WKdHoYeMogok9fdK9jh/3ybX9B3ksJFQCWGCCQ0ODsshdvvLcN374agqNArvl0KBXJKdKcWce8lHB5y&cnc=false&pickupPointCode=PP-3111116&pid1=RO1-60023-03487,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,,• Roughneck T070 Black Sig Ultrablack Tshirt,"
          Rp79.900
        ","
            Rp200.000
          ","
            60%
          ", Roughneck 1991 Official Store , Kota Depok ,"4,8", Terjual 486 ,
" 
      Nicole World Tour Off White Tee 
    ",https://www.blibli.com/p/nicole-world-tour-off-white-tee/ps--NIT-70073-00005?ds=NIT-70073-00005-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1quLUqR+vToaJa/KDojaW0nxne/mPGB59y6mVR6+9UtbVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3499682&pid1=NIT-70073-00005,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp188.000
        ","
            Rp375.000
          ","
            50%
          ", Nicole Tour Merchandise Official Store , Kota Tangerang ,"4,9", Terjual 401 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      VM Jumbo Kaos Buntung Polos / Kaos Tidak Berlengan 
    ",https://www.blibli.com/p/vm-jumbo-kaos-buntung-polos-kaos-tidak-berlengan/ps--VMP-18274-01892?ds=VMP-18274-01892-00041&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1jrqpuIoW64JfaWKqbTfQXopbbUfhDhad9jlERIStrMwV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYONp6XO8WKdHoYeMogok9fdK9jh/3ybX9B3ksJFQCWGCCQ0ODsshdvvLcN374agqNArvl0KBXJKdKcWce8lHB5y&cnc=false&pickupPointCode=PP-3130745&pid1=VMP-18274-01892,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,," 
 Sleeveless top 
 Didesain trendy 
 Round neckline 
 Nyaman digunakan 
 Material : Katun 
","
          Rp35.000
        ","
            Rp88.000
          ","
            60%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat & kota lainnya ,"4,6", Terjual 337 ,
" 
      Roughneck T225 Black Hollywood Syndrome Tshirt 
    ",https://www.blibli.com/p/roughneck-t225-black-hollywood-syndrome-tshirt/ps--RO1-60023-02947?ds=RO1-60023-02947-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1mmTNgEPkBYYwSv4GrN8eaEb7E4SU29+Lpj0r0wzmzRMV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krDNQbMrsAMmfYB7gn+SuifzcNXsgpZXqur+lRlJgMyWi3+uwKb57MNk0lW0uh49z2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3111116&pid1=RO1-60023-02947,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,• Roughneck T225 Black Hollywood Syndrome Tshirt,"
          Rp59.900
        ","
            Rp200.000
          ","
            70%
          ", Roughneck 1991 Official Store , Kota Depok ,"4,8", Terjual 325 ,
" 
      VM Polos Slimfit Panjang Kemeja Kerja Pria - Navy Blue 
    ",https://www.blibli.com/p/vm-polos-slimfit-panjang-kemeja-kerja-pria-navy-blue/ps--VMP-18274-00222?ds=VMP-18274-00222-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1hslQKmsEMj9SdwweD7PfG7cLkFaZywFNniU9JvqovVcVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPomoKcervbZdmKOuLnVtTF88W6/esERL677BKyB6iQ7HM8tt2YWdBquMcqzqH4LeEZfyUcjpfQtbDHqJqFsTE07&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00222,,,,"
Long sleeves shirt
Desain trendy
Pointed collar, front button opening
Left chest pocket
Material : Katun
","
          Rp115.000
        ","
            Rp199.000
          ","
            42%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,2", Terjual 298 ,
" 
      Nicole World Tour Navy Tee 
    ",https://www.blibli.com/p/nicole-world-tour-navy-tee/ps--NIT-70073-00002?ds=NIT-70073-00002-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1v7pukrUgf7f8E03E6aY1ybxne/mPGB59y6mVR6+9UtbVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3499682&pid1=NIT-70073-00002,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp188.000
        ","
            Rp375.000
          ","
            50%
          ", Nicole Tour Merchandise Official Store , Kota Tangerang ,"4,8", Terjual 289 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
